"","Compound.Name","LRI_avg_all","RI2_all"
"1","4-methoxy-benzaldehyde",1268.05334345682,0.677458892003249
"2","chrysene-d",2520.07271557272,0.475038671517278
"3","d-anthraquinone",2010.83209384696,0.616810811900138
"4","d-C10 acid, TMS",1465.3752660931,0.0530177047944044
"5","d-C15 alcohol, TMS",1869.39079931455,0.198903688241105
"6","d-C22 acid, TMS",2647.72867100537,0.0509765200075434
"7","d-C6diacid",1524.51683212225,0.204857904157756
"8","d-cholestane",2912.72178513294,0.057211771014093
"9","d-cholesterol",3201.18487394958,0.0627263314024037
"10","d-pyrene",2164.91627148799,0.424703439093926
"11","dC16",1600,0.246145317399028
"12","dC18",1800,0.228700784212966
"13","dC20",2000,0.212425551263591
"14","dC22",2200.53845329754,0.180949192784666
"15","dC24",2400.50224650671,0.193782967208797
"16","dC26",2600.6503376805,0.17125924215204
"17","dC28",2800,0.161941873041446
"18","dC30",3000.40255879386,0.147553704289474
"19","dC32",3200,0.121867376148841
"20","dC34",3400,0.104397040959557
"21","dC36",3600,0.0324743803169571
"22","dibenzanthracene-d",3266.66666666667,0.670241202481371
"23","pentaerythritol-C13",1525.87800217368,0.227660241033653
"24","perylene-d",2955.35578637315,0.618862836062803
