"","cpnd","dates","slope","r2","d_alkane_RTI"
"1","xanthone",2020-07-31,0.000673432696259558,0.976879674594363,1905
"2","vanillin",2020-07-31,0.0356591761707941,0.986607539817181,1557
"3","vanillic acid",2020-07-31,0.000302899299387894,0.988186342827271,1789
"4","tridecanal",2020-07-31,0.271032459412883,0.938301666844287,1537
"5","Tricarballylic acid",2020-07-31,0.000271228691868197,0.988611839330637,1757
"6","triacetin",2020-07-31,0.0099914093086662,0.953770066946614,1351
"7","trans ferulic acid",2020-07-31,0.000349013641199162,0.979436055709538,2124
"8","threitol",2020-07-31,0.0269773257714907,0.982847141672892,1521
"9","Tartaric acid, 4TMS",2020-07-31,0.000843862801935975,0.914306286811669,1659
"10","syringol",2020-07-31,0.0739477056834924,0.941560232725288,1418
"11","syringic acid",2020-07-31,0.000347829110954001,0.949721824992042,1926
"12","syringaldehyde",2020-07-31,0.000416803322357936,0.979553305145597,1725
"13","stigmasterol",2020-07-31,0.00342937692174745,0.996119090610209,3346
"14","squalene",2020-07-31,0.0048859754596537,0.953671350724487,2867
"15","sinapinaldehyde",2020-07-31,0.00092649348553198,0.986510221945703,2033
"16","resorcinol",2020-07-31,0.0184986447209785,0.949248158921806,1398
"17","Quinoline",2020-07-31,0.0603445713746135,0.987472613828018,1256
"18","Pyrocatechoic acid",2020-07-31,0.000162730394371329,0.992338320874495,1846
"19","pyrene",2020-07-31,0.000216253378026204,0.989352714345799,2170
"20","pinonic acid",2020-07-31,0.0354906498378655,0.958792546320877,1549
"21","pinic acid 2",2020-07-31,0.0142500567640957,0.915218116791247,1697
"22","pinic acid 1",2020-07-31,0.00131676222719405,0.985500476919159,1692
"23","phthalimide",2020-07-31,0.0286393630983337,0.947387796909457,1592
"24","phthalic acid",2020-07-31,0.00189264631104014,0.970449137330878,1714
"25","perylene",2020-07-31,0.000715476417971563,0.868562042984037,2965
"26","pentadecanone",2020-07-31,0.000800501129331477,0.997532628326166,1727
"27","p-anisic acid (4-methozybenzoic acid)",2020-07-31,0.0405661816919528,0.980778242899253,1544
"28","oleic Acid, TMS",2020-07-31,0.000492802008153615,0.9782691786533,2252
"29","octadecanone",2020-07-31,0.000570191933773343,0.979447831112361,2032
"30","octadecanol",2020-07-31,0.000173562833583416,0.995381298217287,2189
"31","monostearin",2020-07-31,0.00295515824954467,0.994084167005054,2827
"32","monopalmitin",2020-07-31,0.00256036449087289,0.978333966124129,2629
"33","Me-OH-glutatric acid",2020-07-31,0.00825667916814279,0.988060722489985,1623
"34","MBTCA",2020-07-31,0.000301339643673713,0.96838249975596,1776
"35","mannosan",2020-07-31,0.00198968255085014,0.993682599957602,1706
"36","maltol",2020-07-31,0.741077525843555,0.983244392291805,1287
"37","Malic acid, 3TMS derivative",2020-07-31,0.101683605793263,0.926203351927418,1510
"38","linoleic Acid, TMS",2020-07-31,0.0011683212302122,0.970624936277084,2245
"39","levoglucosan",2020-07-31,0.00140458835582401,0.989012537998734,1727
"40","ketopinic acid",2020-07-31,0.0442800313763076,0.962540536286576,1529
"41","isopimaric acid",2020-07-31,0.000413281934909744,0.973280269979829,2383
"42","ionone",2020-07-31,0.24225540212009,0.982381981519921,1447
"43","hydroquinone",2020-07-31,0.026168840359101,0.907300168402048,1419
"44","homosalate, TMS",2020-07-31,0.000301212175246856,0.98552850288538,2055
"45","Hexadecanol",2020-07-31,0.000455079506948422,0.996025810737058,1992
"46","hexadecanamide",2020-07-31,0.00161492885366035,0.924084408765677,2212
"47","gamma dodecalactone",2020-07-31,0.000512490723029865,0.979165222053206,1708
"48","galactosan",2020-07-31,0.00348056496709131,0.930932090973703,1684
"49","Farnesol",2020-07-31,0.00514906466265987,0.921427951834208,1804
"50","FAME18 (Methyl Stearate)",2020-07-31,0.000475793737634846,0.961136326373404,2161
"51","FAME16 (Methyl Palmitate)",2020-07-31,0.000427186291333972,0.98922575227619,1958
"52","erythreitol",2020-07-31,0.0226082352294028,0.995947505783033,1529
"53","eicosanol, TMS",2020-07-31,0.00123576471712142,0.992101227159066,2392
"54","DPPA",2020-07-31,0.00114315160030452,0.906273729697621,1954
"55","dodecyl benzene",2020-07-31,0.000511877501127853,0.991543166775653,1920
"56","DL-B-hydroxymyristic acid",2020-07-31,0.000351440950108156,0.995878925567402,2058
"57","dimethyl Glutaric Acid, TMS",2020-07-31,0.109302290944172,0.930827233972374,1456
"58","dibenz(ah)anthracene",2020-07-31,0.00462851017556594,0.988102254940886,3278
"59","Dehydroabietic acid",2020-07-31,0.000699580640931333,0.945310207292287,2430
"60","DEET",2020-07-31,0.00112513197459037,0.99620498530489,1599
"61","Citronellol, TMS",2020-07-31,0.516238932229925,0.966049406480578,1317
"62","cis-Vaccenic Acid, TMS",2020-07-31,0.000674991725708076,0.96687638466772,2258
"63","chrysene",2020-07-31,0.000289445867982575,0.9770515943621,2527
"64","cholesterol",2020-07-31,0.00139096256717398,0.99053359290308,3209
"65","Caffeic acid",2020-07-31,0.000396136733190698,0.985374239672506,2168
"66","C9 Diacid (azelaic acid)",2020-07-31,0.000307247863513536,0.986681088891577,1822
"67","C9 acid",2020-07-31,0.0542630682222741,0.926777257606287,1375
"68","C8 acid",2020-07-31,0.0903373425636925,0.94300458637926,1269
"69","C35",2020-07-31,0.00493283372683441,0.989322680117052,3565
"70","C34",2020-07-31,0.00425306097558424,0.98990590332182,3461
"71","C33",2020-07-31,0.00356849256511167,0.983979623840047,3362
"72","C32",2020-07-31,0.00303403437096361,0.975434536967753,3261
"73","C31",2020-07-31,0.00243266191726766,0.982186001855496,3160
"74","C30",2020-07-31,0.00196565736110039,0.979511074087248,3058
"75","C29",2020-07-31,0.00210423328694575,0.988998084811571,2954
"76","C28 acid",2020-07-31,0.00376891464737527,0.980607566547293,3292
"77","C28",2020-07-31,0.00207598467325225,0.99644213461755,2852
"78","C27",2020-07-31,0.00247783571607121,0.99167817025477,2750
"79","C26 acid",2020-07-31,0.00295133207069651,0.976111876012543,3091
"80","C26",2020-07-31,0.00280327592051861,0.97335007480425,2649
"81","C25",2020-07-31,0.00154272137303967,0.993388215144288,2545
"82","C24 acid",2020-07-31,0.00121993187338132,0.962635713187073,2888
"83","C24",2020-07-31,0.00111927972390016,0.982797387563914,2443
"84","C23",2020-07-31,0.00124825201210229,0.983753833183214,2342
"85","C22 acid",2020-07-31,0.00319904441384072,0.986331574531796,2683
"86","C22",2020-07-31,0.000465925872356255,0.989071558180623,2238
"87","C21",2020-07-31,0.000383703312117887,0.99192257754969,2136
"88","C20",2020-07-31,0.000449365128040439,0.994666094741383,2035
"89","C19",2020-07-31,0.000395946104121546,0.989262734904119,1934
"90","C18 Acid",2020-07-31,0.000248099559813285,0.999218022612999,2280
